DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,DiscapacidadDelSolicitante,NumeroDeTitularesConAlgunaDiscapacidad
Antioquia,Cañasgordas,05138,Si,9
La Guajira,Dibulla,44090,No,272
Cauca,Patía,19532,No,221
Santander,Piedecuesta,68547,No,27
Norte Santander,Convención,54206,No,102
Putumayo,Mocoa,86001,Si,31
Putumayo,Puerto Guzmán,86571,No,1218
Antioquia,Valparaíso,05856,No,5
Bolívar,San Jacinto,13654,No,973
Valle Del Cauca,Trujillo,76828,Si,34
Cauca,Timbiquí,19809,No,64
Cesar,Astrea,20032,Si,4
Chocó,Istmina,27361,Si,7
Córdoba,Los Córdobas,23419,No Reporta,0
Casanare,Aguazul,85010,No,117
Cundinamarca,Tenjo,25799,No,1
Huila,Nátaga,41483,Si,4
Amazonas,Leticia,91001,No,9
Antioquia,Caucasia,05154,No,374
Antioquia,El Bagre,05250,No,838
Caquetá,Curillo,18205,No,228
Bolívar,Zambrano,13894,No,308
Boyacá,La Victoria,15401,Si,3
Risaralda,Dosquebradas,66170,Si,4
Chocó,El Cantón Del San Pablo,27135,No,5
Magdalena,Cerro San Antonio,47161,Si,2
Caldas,Pensilvania,17541,Si,66
Meta,San Carlos De Guaroa,50680,Si,1
Santander,Mogotes,68464,Si,2
Cesar,Chiriguaná,20178,Si,33
Amazonas,Miriti - Paraná,91460,No,1
Meta,Mesetas,50330,Si,73
Putumayo,Mocoa,86001,No,152
Valle Del Cauca,Dagua,76233,Si,43
Antioquia,Zaragoza,05895,No,202
Cauca,Toribio,19821,Si,7
Cundinamarca,Puerto Salgar,25572,Si,4
Norte Santander,El Zulia,54261,Si,23
Cauca,Paez,19517,No,125
Nariño,Leiva,52405,No,106
Chocó,Juradó,27372,No,40
Cauca,Balboa,19075,No,124
Nariño,Pasto,52001,No,364
Cauca,Santa Rosa,19701,No,312
Bolívar,San Pablo,13670,No,302
Tolima,Palocabildo,73520,Si,7
Tolima,Falán,73270,No,36
Cundinamarca,Villeta,25875,No,7
Valle Del Cauca,Buenaventura,76109,No,700
Antioquia,Peque,05543,No,38
Santander,Zapatoca,68895,Si,6
La Guajira,Albania,44035,Si,5
Meta,La Macarena,50350,No,494
Boyacá,Berbeo,15090,Si,4
Huila,Campoalegre,41132,No,42
Santander,Puerto Wilches,68575,Si,25
Córdoba,Momil,23464,No,1
Norte Santander,Cúcuta,54001,No,567
Tolima,Natagaima,73483,No,240
Antioquia,El Carmen De Viboral,05148,No,133
Risaralda,Santa Rosa De Cabal,66682,Si,4
Sucre,Guaranda,70265,No,29
Huila,Tello,41799,Si,17
Cundinamarca,Anapoima,25035,No,5
Nariño,Funes,52287,Si,1
Cundinamarca,Quetame,25594,Si,3
Cundinamarca,Vianí,25867,No,7
Santander,Galán,68296,Si,1
Quindío,Calarcá,63130,No,25
Vaupés,Taraira,97666,Si,1
Guainía,Inírida,94001,No,14
Santander,Cepitá,68160,No,1
Córdoba,Purísima,23586,No,3
Atlántico,Baranoa,08078,No,2
Meta,San Martín,50689,Si,18
Antioquia,San Juan De Urabá,05659,Si,0
Cundinamarca,Choachí,25181,No,3
Cundinamarca,Bituima,25095,Si,1
Chocó,Río Quito,27600,No,13
Caldas,Riosucio,17614,Si,14
Cauca,Piendamó,19548,Si,6
Antioquia,San Jerónimo,05656,Si,2
Córdoba,Lorica,23417,Si,1
Cundinamarca,Anolaima,25040,Si,1
Cundinamarca,Sesquilé,25736,No,2
Risaralda,Apía,66045,Si,6
Santander,Puente Nacional,68572,No,5
Cundinamarca,Ubalá,25839,Si,4
Chocó,Lloró,27413,No,19
Boyacá,San Luis De Gaceno,15667,No,11
Santander,Mogotes,68464,No,10
Cundinamarca,Ubalá,25839,No,27
Santander,Sucre,68773,Si,6
Nariño,La Cruz,52378,No,21
Cundinamarca,Gachalá,25293,No,18
Bolívar,San Pablo,13670,No Reporta,1
Antioquia,Peñol,05541,No,27
Cauca,Guapí,19318,No,89
Antioquia,Heliconia,05347,No,73
Caldas,Marquetalia,17444,No,26
Cundinamarca,San Bernardo,25649,No,11
Tolima,Suárez,73770,No,6
Cesar,Pueblo Bello,20570,Si,17
Atlántico,Tubará,08832,No,59
Antioquia,Ciudad Bolívar,05101,Si,14
Tolima,Casabianca,73152,No,57
Antioquia,Amalfi,05031,No,104
Caldas,Neira,17486,No,9
Putumayo,Santiago,86760,Si,10
Antioquia,Briceño,05107,No,77
Meta,Cumaral,50226,Si,4
Antioquia,Angostura,05038,Si,6
Antioquia,Maceo,05425,Si,12
Valle Del Cauca,Candelaria,76130,No,11
Cundinamarca,Guaduas,25320,No,20
Antioquia,Valdivia,05854,Si,9
Guainía,Mapiripana,94663,No,14
Santander,Concepción,68207,Si,1
Boyacá,San Pablo De Borbur,15681,Si,5
Nariño,Olaya Herrera,52490,Si,25
Antioquia,La Estrella,05380,No,8
Antioquia,Toledo,05819,Si,7
Antioquia,Dabeiba,05234,Si,72
Meta,Acacías,50006,No,199
Casanare,Chameza,85015,No,20
Antioquia,Heliconia,05347,Si,2
Antioquia,Segovia,05736,No,115
Caquetá,El Paujil,18256,No,102
Antioquia,Uramita,05842,No,34
Cundinamarca,Ubaque,25841,No,4
Huila,Guadalupe,41319,Si,9
Bolívar,Magangué,13430,No,24
Nariño,Puerres,52573,No,11
Tolima,Fresno,73283,Si,8
Boyacá,Chiscas,15180,No,12
Valle Del Cauca,Calima,76126,Si,14
Atlántico,Baranoa,08078,Si,4
Antioquia,Amagá,05030,Si,3
Santander,Santa Helena Del Opón,68720,Si,6
Norte Santander,Durania,54239,No,11
Atlántico,Puerto Colombia,08573,No,9
Nariño,La Florida,52381,No,24
Antioquia,Liborina,05411,Si,3
Sucre,Corozal,70215,Si,6
Antioquia,Anorí,05040,No,105
Magdalena,Cerro San Antonio,47161,No,16
Antioquia,Itaguí,05360,No,20
Atlántico,Ponedera,08560,No,93
Meta,Lejanías,50400,No,152
Atlántico,Luruaco,08421,Si,1
Quindío,Génova,63302,No,28
Sucre,Sucre,70771,Si,8
Norte Santander,Ragonvalia,54599,Si,2
Magdalena,El Piñon,47258,Si,9
Nariño,Magüi,52427,Si,16
Antioquia,Fredonia,05282,No,13
Huila,Saladoblanco,41660,Si,7
Córdoba,Tierralta,23807,No Reporta,3
Antioquia,Buriticá,05113,No,23
Santander,Vélez,68861,No,16
Córdoba,Ure,23682,Si,14
Caldas,Marquetalia,17444,Si,2
Putumayo,Santiago,86760,No,109
Antioquia,Yalí,05885,No,38
Antioquia,Yarumal,05887,No,79
Bolívar,San Jacinto Del Cauca,13655,No,53
Sucre,Tolú Viejo,70823,No,101
La Guajira,Uribia,44847,No,2
Quindío,Montenegro,63470,No,4
Chocó,Río Quito,27600,Si,4
Valle Del Cauca,Guadalajara De Buga,76111,Si,19
Santander,La Belleza,68377,No,18
Caldas,Marulanda,17446,Si,3
Cauca,Argelia,19050,Si,40
Cundinamarca,Tocaima,25815,No,9
Antioquia,Briceño,05107,Si,24
Vichada,Puerto Carreño,99001,Si,14
Guaviare,Calamar,95015,Si,20
Antioquia,San Andrés,05647,Si,8
Meta,Guamal,50318,No,29
Quindío,Armenia,63001,Si,3
Caquetá,Valparaíso,18860,Si,48
Huila,Suaza,41770,No,33
Huila,Villavieja,41872,Si,12
Tolima,San Luis,73678,Si,22
Santander,Capitanejo,68147,Si,3
Nariño,San Lorenzo,52687,No,37
Antioquia,Támesis,05789,No,60
Huila,Iquira,41357,Si,9
Antioquia,Campamento,05134,No,36
Cauca,La Vega,19397,Si,49
Santander,Aguada,68013,No,4
Norte Santander,Herrán,54347,No,2
Chocó,Nóvita,27491,No,37
Boyacá,Guouicán,15332,No,11
Cundinamarca,Nimaima,25489,No,7
Vaupés,Mitú,97001,Si,7
Sucre,Tolú Viejo,70823,Si,22
Valle Del Cauca,Cali,76001,Si,42
Boyacá,Cubará,15223,Si,5
Cauca,Timbío,19807,Si,23
Meta,El Dorado,50270,Si,15
Boyacá,Miraflores,15455,No,13
Tolima,San Antonio,73675,Si,36
Caquetá,Albania,18029,No,36
Norte Santander,Pamplona,54518,No,4
Cundinamarca,Chaguaní,25168,Si,8
Valle Del Cauca,Andalucía,76036,No,13
Nariño,La Florida,52381,Si,2
Tolima,Cajamarca,73124,No,64
Meta,Lejanías,50400,Si,17
Boyacá,Sotaquirá,15763,No,5
Meta,Cabuyaro,50124,No,45
Santander,Florián,68271,Si,2
Nariño,Taminango,52786,No,12
Bolívar,Villanueva,13873,No,85
Antioquia,Necoclí,05490,No Reporta,3
Bolívar,Mompós,13468,No,15
Cundinamarca,Une,25845,No,2
Chocó,Sipí,27745,No,18
Chocó,Juradó,27372,Si,15
Bolívar,Calamar,13140,Si,18
Boyacá,San Mateo,15673,No,7
Chocó,Río Iro,27580,Si,10
Magdalena,San Sebastián De Buenavista,47692,No,12
La Guajira,Maicao,44430,No,52
Cesar,San Martín,20770,Si,16
Chocó,Bagadó,27073,Si,18
Antioquia,Amalfi,05031,Si,11
Santander,Piedecuesta,68547,Si,5
Antioquia,Itaguí,05360,Si,4
Antioquia,Toledo,05819,No,22
Valle Del Cauca,Sevilla,76736,Si,11
Caldas,Filadelfia,17272,No,18
Cundinamarca,Carmen De Carupa,25154,Si,1
Santander,Girón,68307,Si,5
Antioquia,Támesis,05789,Si,13
Norte Santander,Los Patios,54405,No,30
Caldas,Supía,17777,No,22
Cundinamarca,Guasca,25322,No,5
Sucre,San Marcos,70708,No,20
Meta,Puerto Lleras,50577,Si,39
Antioquia,Segovia,05736,Si,24
Antioquia,San Vicente,05674,No,19
Huila,Acevedo,41006,Si,10
Cauca,Puerto Tejada,19573,Si,1
Cundinamarca,Pacho,25513,No,66
Bolívar,Mahates,13433,No,38
Cundinamarca,Caqueza,25151,Si,2
Cundinamarca,Fusagasugá,25290,Si,5
Magdalena,Nueva Granada,47460,No,28
Bolívar,María La Baja,13442,Si,46
Chocó,Medio San Juan,27450,Si,3
Cauca,Caldono,19137,Si,10
Cundinamarca,Caparrapí,25148,Si,6
Meta,Granada,50313,Si,12
Antioquia,Vigía Del Fuerte,05873,No,31
Cauca,Timbiquí,19809,Si,18
Santander,La Belleza,68377,Si,1
Santander,El Guacamayo,68245,No,1
Antioquia,Remedios,05604,Si,40
Santander,Floridablanca,68276,Si,1
Putumayo,Sibundoy,86749,No,9
Antioquia,Urrao,05847,Si,36
Antioquia,Nechí,05495,Si,34
Magdalena,Santa Ana,47707,Si,6
Bolívar,Cartagena,13001,Si,9
Cundinamarca,Quipile,25596,No,37
Cundinamarca,Ricaurte,25612,No,3
Tolima,Purificación,73585,No,42
Sucre,Galeras,70235,No,118
Magdalena,Algarrobo,47030,Si,7
Valle Del Cauca,Ansermanuevo,76041,No,12
Meta,Restrepo,50606,No,18
Boyacá,Guateque,15322,No,8
Caquetá,El Doncello,18247,No,117
Atlántico,Malambo,08433,No,9
Nariño,Buesaco,52110,Si,9
Nariño,El Rosario,52256,Si,26
Nariño,Cumbal,52227,No,30
Nariño,Guaitarilla,52320,No,6
Tolima,Palocabildo,73520,No,42
La Guajira,San Juan Del Cesar,44650,Si,7
Casanare,Maní,85139,Si,10
Cundinamarca,Granada,25312,No,10
Cauca,Popayán,19001,Si,119
Tolima,Cajamarca,73124,Si,12
Bolívar,Turbaco,13836,No,62
Tolima,Dolores,73236,Si,23
Atlántico,Barranquilla,08001,Si,16
Atlántico,Palmar De Varela,08520,No,2
Norte Santander,Los Patios,54405,Si,4
Cundinamarca,Chía,25175,No,8
Boyacá,Chivor,15236,No,19
Sucre,Galeras,70235,Si,10
Valle Del Cauca,Cartago,76147,No,25
Caquetá,El Doncello,18247,Si,19
Cundinamarca,Fosca,25281,No,6
Magdalena,Pedraza,47541,No,13
Norte Santander,El Carmen,54245,No,134
Bolívar,Santa Rosa Del Sur,13688,Si,15
Chocó,Tadó,27787,Si,19
Magdalena,Concordia,47205,No,4
Antioquia,Bello,05088,No,145
Bolívar,Regidor,13580,No,35
Sucre,Chalán,70230,Si,13
Cauca,Bolívar,19100,Si,32
Antioquia,Marinilla,05440,No,10
Antioquia,Gómez Plata,05310,No,21
Bolívar,San Martín De Loba,13667,No,84
Cundinamarca,San Cayetano,25653,No,11
Antioquia,Santafé De Antioquia,05042,No,22
Casanare,San Luis De Palenque,85325,No,65
Cundinamarca,Chaguaní,25168,No,46
Cundinamarca,Agua De Dios,25001,No,3
Cundinamarca,Pasca,25535,No,20
Santander,Bolívar,68101,Si,9
Meta,Barranca De Upía,50110,No,34
Cundinamarca,San Francisco,25658,No,6
Tolima,Líbano,73411,Si,44
Nariño,Barbacoas,52079,Si,29
Cundinamarca,Pulí,25580,No,35
Caldas,Palestina,17524,Si,1
Casanare,Sácama,85315,No,17
Santander,La Paz,68397,No,10
Norte Santander,El Tarra,54250,Si,35
Cundinamarca,Silvania,25743,No,61
Meta,Cubarral,50223,Si,7
Valle Del Cauca,La Unión,76400,No,17
Tolima,Mariquita,73443,No,48
Boyacá,Quípama,15580,Si,8
Santander,Suratá,68780,No,30
Casanare,Sabanalarga,85300,No,36
Santander,Landázuri,68385,No,113
Boyacá,San Pablo De Borbur,15681,No,15
Chocó,Unguía,27800,Si,26
Tolima,Alvarado,73026,Si,12
Boyacá,Briceño,15106,No,6
Antioquia,Olaya,05501,No,5
Cundinamarca,Girardot,25307,Si,5
Cesar,San Martín,20770,No,187
Bolívar,María La Baja,13442,No,390
Norte Santander,Chitagá,54174,No,50
Antioquia,Caicedo,05125,No,9
Antioquia,Cocorná,05197,Si,15
Valle Del Cauca,Yotoco,76890,No,14
Nariño,La Cruz,52378,Si,3
Casanare,Maní,85139,No,130
Cundinamarca,Ubaque,25841,Si,1
Cesar,San Diego,20750,Si,19
Vichada,La Primavera,99524,Si,11
Huila,Palestina,41530,No,16
Meta,Granada,50313,No,86
Valle Del Cauca,Florida,76275,No,53
Santander,Bolívar,68101,No,90
Amazonas,La Pedrera,91407,No,2
Nariño,Túquerres,52838,No,6
Norte Santander,Pamplonita,54520,No,2
Arauca,Arauca,81001,Si,24
Meta,Fuente De Oro,50287,No,95
Cesar,Río De Oro,20614,No,154
Tolima,Purificación,73585,Si,8
Sucre,Coveñas,70221,No,6
Vichada,Santa Rosalía,99624,No,42
Nariño,Consaca,52207,No,20
Tolima,Anzoátegui,73043,No,146
Chocó,Bojayá,27099,Si,9
Magdalena,El Banco,47245,Si,9
Antioquia,San Andrés,05647,No,54
Chocó,Medio Baudó,27430,Si,6
Chocó,Istmina,27361,No,45
Cesar,San Diego,20750,No,283
Bolívar,Arjona,13052,No,115
Antioquia,San Jerónimo,05656,No,19
Nariño,Tangua,52788,Si,11
Cundinamarca,Paime,25518,Si,4
Cundinamarca,Sutatausa,25781,No,2
Caldas,Manizales,17001,No,35
Chocó,Condoto,27205,No,23
Valle Del Cauca,Zarzal,76895,No,21
Meta,San Juan De Arama,50683,Si,26
Cundinamarca,Girardot,25307,No,4
Bolívar,Tiquisio,13810,No,96
Tolima,Armero,73055,Si,5
Antioquia,Barbosa,05079,Si,7
Chocó,Nuquí,27495,No,17
Putumayo,San Francisco,86755,No,57
Boyacá,Chiquinquirá,15176,No,2
Meta,Cumaral,50226,No,28
Santander,Sucre,68773,No,28
Antioquia,Sabanalarga,05628,Si,9
Boyacá,Sogamoso,15759,No,4
Valle Del Cauca,El Cairo,76246,No,35
Atlántico,Repelón,08606,No,34
Córdoba,Chimá,23168,No,4
Valle Del Cauca,Roldanillo,76622,No,39
Cauca,Guachené,19300,Si,4
Bolívar,Hatillo De Loba,13300,Si,2
Amazonas,La Victoria,91430,No,5
Valle Del Cauca,El Aguila,76243,No,25
Tolima,Venadillo,73861,Si,33
Boyacá,El Cocuy,15244,No,5
Antioquia,Peñol,05541,Si,5
Boyacá,Pauna,15531,No,14
Chocó,Bahía Solano,27075,No,33
Caldas,Norcasia,17495,Si,10
Quindío,Pijao,63548,No,8
Caldas,Aranzazu,17050,No,6
Boyacá,Guouicán,15332,Si,3
Santander,Barbosa,68077,No,8
Antioquia,Angelópolis,05036,No,15
Cundinamarca,Venecia,25506,No,40
Atlántico,Polonuevo,08558,Si,1
Caldas,Norcasia,17495,No,35
Antioquia,Betania,05091,No,50
Bolívar,Calamar,13140,No,103
Antioquia,Retiro,05607,No,12
Magdalena,Santa Bárbara De Pinto,47720,No,4
Antioquia,Tarso,05792,No,16
Chocó,El Carmen De Atrato,27245,No,162
Santander,Matanza,68444,Si,8
Antioquia,Guarne,05318,No,39
Sucre,Chalán,70230,No,131
Norte Santander,San Calixto,54670,Si,17
Sucre,San Onofre,70713,No,290
Cundinamarca,Nariño,25483,No,2
Caldas,Manizales,17001,Si,16
Antioquia,Andes,05034,No,26
La Guajira,Urumita,44855,No,24
Santander,San Miguel,68686,No,25
Tolima,Alvarado,73026,No,72
Valle Del Cauca,Obando,76497,No,28
Antioquia,Murindó,05475,No,11
Antioquia,San Rafael,05667,Si,33
Tolima,Rioblanco,73616,Si,94
Huila,Aipe,41016,No,26
Cauca,Florencia,19290,No,12
Caldas,Aguadas,17013,No,45
La Guajira,Distracción,44098,No,47
Nariño,Mosquera,52473,No,41
Caldas,Victoria,17867,No,41
Casanare,Villanueva,85440,No,30
Magdalena,Zapayán,47960,No,30
Vaupés,Carurú,97161,No,39
Tolima,Valle De San Juan,73854,Si,36
Caldas,Manzanares,17433,Si,7
Antioquia,Anza,05044,No,18
Antioquia,Entrerrios,05264,No,10
Magdalena,Remolino,47605,No,610
Valle Del Cauca,Zarzal,76895,Si,2
Chocó,Quibdó,27001,Si,19
Antioquia,Bello,05088,Si,26
Nariño,Belén,52083,No,12
Santander,San Andrés,68669,Si,3
Santander,La Paz,68397,Si,5
Magdalena,Algarrobo,47030,No,27
Tolima,Alpujarra,73024,No,30
Antioquia,Yarumal,05887,Si,8
Chocó,Carmen del Darién,27150,No,97
Magdalena,Remolino,47605,Si,45
Cundinamarca,Pandi,25524,No,14
Antioquia,Salgar,05642,Si,22
Nariño,Aldana,52022,No,1
