DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,GrupoEtarioDelSolicitante,NumeroDeSolicitantes
Cundinamarca,La Palma,25394,Mayor Adulto Entre 70-79 Años,167
Santander,Charta,68169,Adulto,7
Bolívar,Montecristo,13458,Centenario,1
Caquetá,La Montañita,18410,Mayor Mayor Entre 80-89 Años,23
Cauca,Patía,19532,NoReporta,3
Antioquia,Abriaquí,05004,Mayor Adulto Entre 70-79 Años,4
Cundinamarca,Chaguaní,25168,Adulto,32
Antioquia,Caramanta,05145,Adulto,3
Valle Del Cauca,El Dovio,76250,Adulto,69
Bolívar,Montecristo,13458,Mayor Adulto Entre 70-79 Años,19
Nariño,Ancuyá,52036,NoReporta,2
Risaralda,Belén De Umbría,66088,Adulto,12
Huila,Tello,41799,Adulto Joven,1
Antioquia,Pueblorrico,05576,Adulto,5
Sucre,Chalán,70230,Nonagenario,12
Cauca,Morales,19473,Adulto,99
Antioquia,Cáceres,05120,NoReporta,32
Huila,Baraya,41078,Adulto,74
Sucre,Santiago De Tolú,70820,Mayor Adulto Entre 70-79 Años,7
Magdalena,Puebloviejo,47570,Mayor Joven Entre 60-69 Años,71
Valle Del Cauca,El Aguila,76243,Mayor Joven Entre 60-69 Años,7
Caldas,Samaná,17662,Adulto Joven,8
Cesar,Agustín Codazzi,20013,Nonagenario,25
Risaralda,Apía,66045,Nonagenario,1
Tolima,Falán,73270,NoReporta,2
Putumayo,Mocoa,86001,Adulto Joven,3
Cauca,Guachené,19300,Mayor Joven Entre 60-69 Años,2
Magdalena,Ariguaní,47058,Nonagenario,4
Meta,Puerto Gaitán,50568,Nonagenario,24
Caldas,Aguadas,17013,NoReporta,3
Casanare,Nunchía,85225,Adulto,27
Cauca,El Tambo,19256,Mayor Mayor Entre 80-89 Años,74
Norte Santander,Cucutilla,54223,Mayor Adulto Entre 70-79 Años,3
Chocó,Sipí,27745,Mayor Joven Entre 60-69 Años,4
Antioquia,Barbosa,05079,Adulto,16
Cauca,Morales,19473,Mayor Joven Entre 60-69 Años,38
Norte Santander,La Playa,54398,Adulto,12
Antioquia,San Jerónimo,05656,NoReporta,1
Casanare,Orocué,85230,Mayor Adulto Entre 70-79 Años,23
Valle Del Cauca,Ginebra,76306,Mayor Mayor Entre 80-89 Años,5
Huila,Colombia,41206,NoReporta,1
Norte Santander,Ocaña,54498,Mayor Mayor Entre 80-89 Años,13
Caquetá,San Vicente Del Caguán,18753,Mayor Mayor Entre 80-89 Años,68
Nariño,El Peñol,52254,NoReporta,1
Chocó,Bajo Baudó,27077,Adulto Joven,1
Antioquia,Cáceres,05120,Adulto,601
Nariño,San Pablo,52693,Nonagenario,1
Meta,Vistahermosa,50711,Centenario,2
Cundinamarca,Facatativá,25269,Mayor Adulto Entre 70-79 Años,2
La Guajira,Fonseca,44279,Mayor Joven Entre 60-69 Años,14
Magdalena,Aracataca,47053,Centenario,3
Norte Santander,Los Patios,54405,Mayor Adulto Entre 70-79 Años,5
Cundinamarca,Arbeláez,25053,Nonagenario,1
Caldas,Norcasia,17495,Adulto,15
Magdalena,Tenerife,47798,Adulto Joven,1
Valle Del Cauca,Yotoco,76890,Mayor Adulto Entre 70-79 Años,3
Antioquia,Jericó,05368,Mayor Joven Entre 60-69 Años,6
Chocó,Medio Baudó,27430,Mayor Joven Entre 60-69 Años,9
Antioquia,Cocorná,05197,Mayor Joven Entre 60-69 Años,74
Huila,Neiva,41001,NoReporta,2
Antioquia,Turbo,05837,Centenario,6
Nariño,El Rosario,52256,NoReporta,6
Tolima,Guamo,73319,Mayor Adulto Entre 70-79 Años,4
Putumayo,Valle Del Guamuez,86865,Mayor Adulto Entre 70-79 Años,207
Nariño,Funes,52287,Mayor Adulto Entre 70-79 Años,2
Atlántico,Tubará,08832,Nonagenario,3
Santander,Bolívar,68101,Mayor Adulto Entre 70-79 Años,20
Santander,Coromoro,68217,Mayor Joven Entre 60-69 Años,1
Bolívar,Calamar,13140,Adulto,33
Caquetá,San Vicente Del Caguán,18753,Nonagenario,10
Antioquia,Caucasia,05154,Adulto Joven,8
Boyacá,Briceño,15106,Adulto,1
Huila,Villavieja,41872,Adulto,18
Bolívar,Arjona,13052,Nonagenario,3
Risaralda,Guática,66318,Mayor Adulto Entre 70-79 Años,12
Boyacá,Floresta,15276,Adulto,1
Atlántico,Usiacurí,08849,Mayor Adulto Entre 70-79 Años,1
Antioquia,Montebello,05467,NoReporta,15
Cauca,Sotará,19760,Mayor Adulto Entre 70-79 Años,8
Boyacá,Sogamoso,15759,Adulto,2
Cesar,Tamalameque,20787,Mayor Adulto Entre 70-79 Años,32
Casanare,Orocué,85230,NoReporta,1
Antioquia,Santafé De Antioquia,05042,Mayor Adulto Entre 70-79 Años,2
Antioquia,Barbosa,05079,Mayor Mayor Entre 80-89 Años,4
Cesar,Aguachica,20011,Primera Infancia,1
Valle Del Cauca,El Dovio,76250,Mayor Joven Entre 60-69 Años,28
Sucre,Sincé,70742,Mayor Joven Entre 60-69 Años,20
Tolima,Venadillo,73861,Mayor Adulto Entre 70-79 Años,23
Chocó,San José Del Palmar,27660,Nonagenario,9
Córdoba,San Andrés Sotavento,23670,Adulto,1
Casanare,Sabanalarga,85300,Adulto,5
La Guajira,Distracción,44098,Mayor Mayor Entre 80-89 Años,5
Caldas,Manzanares,17433,Mayor Adulto Entre 70-79 Años,11
La Guajira,Barrancas,44078,Adulto,48
Antioquia,Valdivia,05854,Mayor Joven Entre 60-69 Años,28
Cundinamarca,Viotá,25878,Nonagenario,1
Arauca,Puerto Rondón,81591,Adulto,23
Chocó,Unguía,27800,Adulto,72
Tolima,Icononzo,73352,Mayor Joven Entre 60-69 Años,41
Bolívar,Magangué,13430,Mayor Adulto Entre 70-79 Años,1
Córdoba,Montelíbano,23466,Mayor Adulto Entre 70-79 Años,52
Meta,Puerto López,50573,Mayor Mayor Entre 80-89 Años,19
Norte Santander,Convención,54206,Nonagenario,2
Antioquia,Guarne,05318,Adulto,9
Sucre,Palmito,70523,Adulto,4
Córdoba,San Carlos,23678,Adulto,3
Cesar,Astrea,20032,Adolescencia,1
Cundinamarca,Medina,25438,Mayor Joven Entre 60-69 Años,37
Meta,Uribe,50370,Adulto Joven,6
Tolima,Suárez,73770,Adulto,1
Cesar,Pueblo Bello,20570,Nonagenario,8
Santander,Rionegro,68615,Mayor Joven Entre 60-69 Años,73
Antioquia,Salgar,05642,Mayor Adulto Entre 70-79 Años,23
Cesar,Chimichagua,20175,Adulto Joven,1
